STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001105,-9999,-9999,0.00,0.0,0.0,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001106,-9999,-9999,0.00,0.0,0.0,-9999,36,40,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001107,-9999,-9999,0.00,0.0,0.0,50,35,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001108,-9999,-9999,0.00,0.0,0.0,55,37,43,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001109,-9999,-9999,0.00,0.0,0.0,58,40,45,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001110,-9999,-9999,1.17,0.0,0.0,56,45,46,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001111,-9999,-9999,0.00,0.0,0.0,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001112,-9999,-9999,0.35,0.0,0.0,-9999,35,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001113,-9999,-9999,0.00,0.0,0.0,-9999,-9999,42,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001114,-9999,-9999,0.04,0.0,0.0,45,42,45,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001115,-9999,-9999,0.70,0.0,0.0,48,34,39,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001116,-9999,-9999,0.00,0.0,0.0,44,35,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001117,-9999,-9999,0.03,0.0,0.0,46,37,44,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001118,-9999,-9999,0.00,0.0,0.0,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001119,-9999,-9999,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001120,-9999,-9999,0.00,0.0,0.0,-9999,25,31,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001121,-9999,-9999,0.00,0.0,0.0,42,25,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001122,-9999,-9999,0.00,0.0,0.0,39,25,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001123,-9999,-9999,0.00,0.0,0.0,32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001124,-9999,-9999,0.00,0.0,0.0,-9999,14,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001125,-9999,-9999,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001126,-9999,-9999,0.00,0.0,0.0,-9999,12,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001127,-9999,-9999,1.02,0.0,0.0,46,-9999,42,-9999,-9999,-9999,-9999,-9999,-9999
